root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940617591687,['aIPg3'],AVLP.1267,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,762,741
720575940620431752,['aIPg3'],SMP.2251,,intrinsic,central,,,['CB3125'],VLPl&p1_posterior,,[],right,17,0
720575940634109326,['aIPg3'],SMP.SIP.103,ACH,intrinsic,central,,,['CB3330'],VLPl&p1_posterior,,[],right,14,21
720575940626255632,['aIPg3'],AVLP.SMP.56,ACH,intrinsic,central,,,['CB3166'],VLPl&p1_posterior,,['feedforward_loop_participant'],right,24,22
720575940644219671,['aIPg3'],AVLP.CRE.3,ACH,intrinsic,central,,,['CB3469'],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,114,160
720575940634736538,['aIPg3'],SMP.680,ACH,intrinsic,central,,,['SMP558'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,210,596
720575940637165987,['aIPg3'],AVLP.SMP.36,ACH,intrinsic,central,,,['AVLP496b'; 'AVLP496'],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,160,194
720575940640869795,['aIPg3'],AVLP.SMP.27,ACH,intrinsic,central,,,[],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,311,282
720575940618376614,['aIPg3'],SMP.SIP.96,ACH,intrinsic,central,,,['CB3125'],VLPl&p1_posterior,,['feedforward_loop_participant'; '3_cycle_participant'],right,21,37
720575940620085670,['aIPg3'],AVLP.SMP.44,ACH,intrinsic,central,,,[],VLPl&p1_posterior,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,108,163
720575940609970090,['aIPg3'],AVLP.1135,ACH,intrinsic,central,,,['AVLP494'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,730,601
720575940605856689,['aIPg3'],AVLP.SIP.35,ACH,intrinsic,central,,,[],VLPl&p1_posterior,,['feedforward_loop_participant'; '3_cycle_participant'],right,90,148
720575940636443828,['aIPg3'],AVLP.1825,ACH,intrinsic,central,,,[],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,420,444
