rPos_deg,AOTU002_a,AOTU002_c,AOTU005_3,AOTU015_4,AOTU016_a,AOTU016_c,AOTU019_7,AOTU025_8,AOTU026_9,AOTU027_10,LAL026_a,LAL027_12,LAL028_13,LAL029_e
72.6724137931034,0.0079552120141606,0.00632197765387954,0.208885475279246,0.238001302295222,0.253646833125723,0.0104913523345852,0.561322558863802,0.684292693031602,0.119281978598496,0.0777372512485603,0.231236046748775,0.210354732685999,0.30264333643771,0.138879431633999
73.0603448275862,0.00672950130221161,0.00634996527216603,0.208597717453658,0.238103405685338,0.25129152999917,0.0105017834361975,0.551847823981834,0.684067757287994,0.119272529954412,0.076239284816091,0.232457563431834,0.211023382379232,0.303075528620585,0.142057957444317
73.448275862069,0.00558069906336196,0.00636783611569964,0.208351987179417,0.238161994072388,0.248996493370647,0.0105124002457192,0.542274492170487,0.683619689782733,0.119286380720186,0.0750703255841051,0.233735227722028,0.211802994476495,0.303574333511447,0.144925428315878
73.8362068965517,0.00452056992532038,0.006385107210543,0.208168721804947,0.238193313032991,0.246803616546929,0.0105293070071953,0.53245193108301,0.683013315777223,0.11932684362901,0.0741591604610075,0.235030549781361,0.212633486628631,0.304131942474666,0.147485297938097
74.2241379310345,0.00357883294065431,0.00639456364127355,0.20806210803815,0.238196814562002,0.244742258825975,0.0105446967510863,0.52238269126677,0.682281803679781,0.119372692290708,0.0735527461306615,0.236296756165002,0.213520569846083,0.304707496940368,0.14991226439061
74.6120689655172,0.00276397079526721,0.00640323949678101,0.207986368017521,0.238178064552771,0.242848815336364,0.0105608287878234,0.512344107253673,0.681484637252441,0.119418904986385,0.0731746469560605,0.23752720854704,0.21440525753438,0.305324723392403,0.152037730260256
75,0.00207723530163991,0.00641085087885538,0.207925592567425,0.238143141705202,0.241026757615497,0.0105816900871894,0.502543823064063,0.680591460174146,0.119468505242806,0.0729318186239311,0.238632156575285,0.215220080018134,0.305842954953119,0.153684498846471
75.3879310344828,0.00152387797271093,0.00642215808190458,0.20786588607311,0.23811524335591,0.239341306103965,0.0106111372541183,0.492916290459529,0.67964967335384,0.119534502471461,0.0728795445512797,0.239547051697899,0.21591296601639,0.306259856042007,0.154978845034343
75.7758620689655,0.00109071253532615,0.00642792068942778,0.20780164401513,0.238083136280364,0.237863027951187,0.0106433306638048,0.483498808088533,0.678763841406258,0.119590171520011,0.0729403665669885,0.240359710613268,0.216561509838307,0.306624954742789,0.155939947333825
76.1637931034483,0.000741685233468895,0.00641366207999499,0.2077516142592,0.238072607407829,0.236600286181281,0.0106784747824944,0.474373612466372,0.677823343876845,0.119639401701189,0.0731475062207368,0.240874539277969,0.217129546300734,0.306941008069826,0.156432785545807
76.551724137931,0.000482312140367689,0.00642222747724985,0.207694290215793,0.238114113447596,0.235496911663644,0.0107148550507071,0.46552100555367,0.676957171171167,0.119700498106757,0.0735007196003423,0.241151548957728,0.217622677672205,0.307242978394534,0.156641442196392
76.9396551724138,0.000290116008140057,0.00640871483884759,0.207617515531948,0.238126941610058,0.234618452992373,0.0107504906404993,0.456935034293784,0.676444342064233,0.119784853450515,0.0739370122834795,0.241134882458167,0.217983790513679,0.307474930764134,0.156487083253962
