neuropil,neuron,count
COURT_vnc_ABDNM,720575941518239192,0
COURT_vnc_ABDNM,720575941573616891,0
COURT_vnc_ABDNM,720575941457833712,2241
COURT_vnc_ABDNM,720575941432146702,2078
COURT_vnc_ABDNM,720575941597654172,351
COURT_vnc_ABDNM,720575941565696310,149
COURT_vnc_ABDNM,720575941617143509,37
COURT_vnc_ABDNM,720575941602323897,14
COURT_vnc_ABDNM,720575941556446372,90
COURT_vnc_ABDNM,720575941658423376,0
COURT_vnc_ABDNM,720575941486858704,23
COURT_vnc_ABDNM,720575941431746519,1820
COURT_vnc_ABDNM,720575941534072152,70
COURT_vnc_ABDNM,720575941407841071,90
COURT_vnc_ABDNM,720575941507515777,56
COURT_vnc_ABDNM,720575941476106545,527
COURT_vnc_ABDNM,720575941573266171,0
COURT_vnc_ABDNM,720575941542610437,0
COURT_vnc_ABDNM,720575941536944872,124
COURT_vnc_ABDNM,720575941450592890,2069
COURT_vnc_ABDNM,720575941658066456,0
COURT_vnc_ABDNM,720575941632455621,2390
COURT_vnc_ABDNM,720575941554728868,0
COURT_vnc_ABDNM,720575941554682451,0
COURT_vnc_ABDNM,720575941604651966,92
COURT_vnc_ABDNM,720575941460420307,200
COURT_vnc_ABDNM,720575941501658251,1358
COURT_vnc_ABDNM,720575941618374527,0
COURT_vnc_ABDNM,720575941510694098,129
COURT_vnc_ABDNM,720575941440280767,74
COURT_vnc_ABDNM,720575941430105592,0
COURT_vnc_ABDNM,720575941642575461,0
COURT_vnc_ABDNM,720575941568660082,28
COURT_vnc_ABDNM,720575941518786776,29
COURT_vnc_ABDNM,720575941589425975,2786
COURT_vnc_ABDNM,720575941554082970,885
COURT_vnc_ABDNM,720575941461063056,72
COURT_vnc_ABDNM,720575941430607753,0
COURT_vnc_ABDNM,720575941590418174,6
COURT_vnc_ABDNM,720575941541039133,159
COURT_vnc_ABDNM,720575941614336921,0
COURT_vnc_ABDNM,720575941400290851,0
COURT_vnc_ABDNM,720575941556401060,0
COURT_vnc_ABDNM,720575941606074477,14
COURT_vnc_ABDNM,720575941438600671,306
COURT_vnc_ABDNM,720575941638407199,46
COURT_vnc_ABDNM,720575941633094843,179
COURT_vnc_ABDNM,720575941626617657,3097
COURT_vnc_ABDNM,720575941559471375,322
COURT_vnc_ABDNM,720575941575406440,70
COURT_vnc_ABDNM,720575941559711091,380
COURT_vnc_ABDNM,720575941558894863,378
COURT_vnc_ABDNM,720575941614744473,0
COURT_vnc_ABDNM,720575941578384629,0
COURT_vnc_ABDNM,720575941549169469,0
COURT_vnc_ABDNM,720575941498676642,0
COURT_vnc_ABDNM,720575941607119725,0
COURT_vnc_ABDNM,720575941564195847,0
COURT_vnc_ABDNM,720575941551774526,0
COURT_vnc_ABDNM,720575941406312110,0
COURT_vnc_ABDNM,720575941546314164,1342
COURT_vnc_ABDNM,720575941450086734,0
COURT_vnc_ABDNM,720575941563218944,213
COURT_vnc_ABDNM,720575941415042588,181
COURT_vnc_ABDNM,720575941506518853,262
COURT_vnc_ABDNM,720575941531010533,57
COURT_vnc_ABDNM,720575941476377393,322
COURT_vnc_ABDNM,720575941495492295,422
COURT_vnc_ABDNM,720575941610917037,0
COURT_vnc_ABDNM,720575941443964074,810
COURT_vnc_ABDNM,720575941552726407,0
COURT_vnc_ABDNM,720575941722201146,652
COURT_vnc_ABDNM,720575941514665795,137
COURT_vnc_ABDNM,720575941639800607,107
COURT_vnc_ABDNM,720575941530745547,528
COURT_vnc_ABDNM,720575941702731226,0
COURT_vnc_ABDNM,720575941480308559,212
COURT_vnc_ABDNM,720575941538295282,0
COURT_vnc_ABDNM,720575941532098789,892
COURT_vnc_ABDNM,720575941531996645,0
COURT_vnc_ABDNM,720575941690234587,367
COURT_vnc_ABDNM,720575941628860898,0
COURT_vnc_ABDNM,720575941412817553,203
COURT_vnc_ABDNM,720575941623421436,179
COURT_vnc_ABDNM,720575941505988165,467
COURT_vnc_ABDNM,720575941596093573,0
COURT_vnc_ABDNM,720575941452550057,0
COURT_vnc_ABDNM,720575941501042827,336
COURT_vnc_ABDNM,720575941507602448,1584
COURT_vnc_ABDNM,720575941456226541,27
COURT_vnc_ABDNM,720575941626692409,16
COURT_vnc_ABDNM,720575941515547482,0
COURT_vnc_ABDNM,720575941589318199,254
COURT_vnc_ABDNM,720575941558596334,0
COURT_vnc_ABDNM,720575941437879314,0
COURT_vnc_ABDNM,720575941411582063,0
COURT_vnc_ABDNM,720575941534485336,0
COURT_vnc_ABDNM,720575941668463015,218
COURT_vnc_ABDNM,720575941564752226,952
COURT_vnc_ABDNM,720575941476477492,11
COURT_vnc_ABDNM,720575941540246364,20
COURT_vnc_ABDNM,720575941632024261,481
COURT_vnc_ABDNM,720575941462375181,0
COURT_vnc_ABDNM,720575941519558323,296
COURT_vnc_ABDNM,720575941617632895,31
COURT_vnc_ABDNM,720575941652572884,383
COURT_vnc_ABDNM,720575941497098313,0
COURT_vnc_ABDNM,720575941534310744,0
COURT_vnc_ABDNM,720575941594823537,18
COURT_vnc_ABDNM,720575941657989712,0
COURT_vnc_ABDNM,720575941577548633,0
COURT_vnc_ABDNM,720575941461510669,0
COURT_vnc_ABDNM,720575941509448720,0
COURT_vnc_ABDNM,720575941537967821,994
COURT_vnc_ABDNM,720575941595060849,137
COURT_vnc_ABDNM,720575941430668169,0
COURT_vnc_ABDNM,720575941445047572,0
