rPos_deg,AOTU002_a,AOTU002_c,AOTU005,AOTU015,AOTU016_a,AOTU016_c,AOTU019,AOTU025,AOTU026,AOTU027,LAL026_a,LAL027,LAL028,LAL029_e
-2,0.0293862934475718,0.0125952974692495,9.3971095599672e-17,3.17341905502925e-16,3.25847973724508e-16,2.98396120099765e-17,0.784203527381282,3.79862997333351e-16,1.1971863938656e-16,0.0203026252453924,5.25618636763084e-16,1.48269448361417e-16,7.73786399574593e-16,6.15548567748658e-16
-1,0.0291860967197235,0.0126443279355194,1.9003765639834e-16,2.11561270335283e-16,4.29690412943661e-16,8.70656901752357e-07,0.802136806917725,3.3882320354739e-18,7.89093115941287e-17,0.0372998211490042,8.51613053872027e-16,9.77602526803039e-17,6.76350785655989e-16,2.91575637354627e-16
0,0.0290620652770806,0.0126662762023576,2.81913286799016e-16,2.11561270335283e-16,3.42160884381064e-16,0.000154104667370981,0.822471403922468,3.20773197748164e-16,8.07090458174602e-17,0.0595190606115311,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,4.83559596106646e-16
1,0.0290090251372801,0.0125978665689078,1.87942191199344e-16,1.95689241532571e-16,4.29690412943661e-16,0.000471634837136576,0.843853830501883,1.86143498604379e-16,2.18583862249039e-16,0.0843144441935812,6.64817859752652e-16,9.77602526803039e-17,4.74441480779133e-16,6.15548567748658e-16
2,0.0290037681527815,0.0124072233121065,2.81913286799016e-16,3.11249869581281e-16,4.29690412943661e-16,0.00107258100690853,0.863951919020645,3.79862997333351e-16,1.6141809163492e-16,0.107802884289958,6.31841943195375e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
3,0.0290317968964243,0.0120901916499767,1.27048921250756e-16,2.80107121923915e-16,4.29690412943661e-16,0.00201313161095655,0.880963065825127,3.17140019213668e-16,8.07090458174602e-17,0.126625386554943,6.31841943195375e-16,1.95520505360608e-16,7.10135022458224e-16,5.01510096249959e-16
4,0.0291217278966267,0.0117036172883878,2.81776132826838e-16,2.11561270335283e-16,4.29690412943661e-16,0.00323784508289106,0.893199137548635,1.51723429808971e-16,1.17797564814481e-19,0.139167930273117,8.51613053872027e-16,9.77602526803039e-17,5.01566793267017e-16,2.91575637354627e-16
5,0.029243698635041,0.0113406046013187,2.81913286799016e-16,2.11561270335283e-16,5.19577639245376e-16,0.0045755650779311,0.903100822037969,2.46989109377241e-16,1.26377744582509e-16,0.145777326917533,7.23488606632553e-16,4.07669640806756e-17,5.01305481767605e-16,8.39974260271271e-16
6,0.0293972514634115,0.0110579608478783,1.92508490363299e-16,1.09290985134686e-16,0.000569390613786477,0.00579951206649959,0.912253927526879,0.00152116864342406,0.000631290515814907,0.148047900763814,8.40933805827294e-16,9.77602526803039e-17,3.30967714364877e-16,6.15548567748658e-16
7,0.0295777930039233,0.010864687195538,1.31963777125962e-16,3.17341905502925e-16,0.00163678666629077,0.00674279761798193,0.921803002791341,0.0052199625458186,0.00204771604077842,0.147879407420308,4.56497758497045e-16,9.77602526803039e-17,6.20901882634878e-16,6.15548567748658e-16
8,0.0296975009153995,0.0107673917600711,1.87942191199344e-16,2.11561270335283e-16,0.00371983126719091,0.00736133356438169,0.932742215931404,0.0125555876408562,0.0049069117722525,0.147659952515978,6.76268869173698e-16,1.75758183115078e-16,5.3749810681029e-16,2.91575637354627e-16
